read_id,original_length,post_quality_length,post_adapter_length,final_length,quality_bases_removed,adapter_bases_removed,total_bases_removed,status
SRR13921545.121,100,100,100,100,0,0,0,retained
SRR13921545.122,100,100,100,100,0,0,0,retained
SRR13921545.123,100,100,100,100,0,0,0,retained
SRR13921545.124,100,100,100,100,0,0,0,retained
SRR13921545.125,100,100,100,100,0,0,0,retained
SRR13921545.126,100,100,100,100,0,0,0,retained
SRR13921545.127,100,100,100,100,0,0,0,retained
SRR13921545.128,100,100,100,100,0,0,0,retained
SRR13921545.129,100,100,100,100,0,0,0,retained
SRR13921545.130,100,100,100,100,0,0,0,retained
SRR13921545.131,100,100,100,100,0,0,0,retained
SRR13921545.132,100,100,100,100,0,0,0,retained
SRR13921545.133,100,100,100,100,0,0,0,retained
SRR13921545.134,100,100,69,69,0,31,31,discarded_too_short
SRR13921545.135,100,100,100,100,0,0,0,retained
SRR13921545.136,100,100,100,100,0,0,0,retained
SRR13921545.137,100,100,100,100,0,0,0,retained
SRR13921545.138,100,100,100,100,0,0,0,retained
SRR13921545.139,100,100,100,100,0,0,0,retained
SRR13921545.140,100,100,100,100,0,0,0,retained
SRR13921545.141,100,100,100,100,0,0,0,retained
SRR13921545.142,100,100,100,100,0,0,0,retained
SRR13921545.143,100,100,100,100,0,0,0,retained
SRR13921545.144,100,100,100,100,0,0,0,retained
SRR13921545.145,100,100,100,100,0,0,0,retained
SRR13921545.146,100,100,100,100,0,0,0,retained
SRR13921545.147,100,100,100,100,0,0,0,retained
SRR13921545.148,100,100,100,100,0,0,0,retained
SRR13921545.149,100,100,100,100,0,0,0,retained
SRR13921545.150,100,100,100,100,0,0,0,retained
SRR13921545.151,100,100,100,100,0,0,0,retained
SRR13921545.152,100,100,100,100,0,0,0,retained
SRR13921545.153,100,99,99,99,1,0,1,retained
SRR13921545.154,100,100,100,100,0,0,0,retained
SRR13921545.155,100,100,100,100,0,0,0,retained
SRR13921545.156,100,100,100,100,0,0,0,retained
SRR13921545.157,100,100,100,100,0,0,0,retained
SRR13921545.158,100,100,100,100,0,0,0,retained
SRR13921545.159,100,100,100,100,0,0,0,retained
SRR13921545.160,100,100,100,100,0,0,0,retained
SRR13921545.161,100,100,100,100,0,0,0,retained
SRR13921545.162,100,100,100,100,0,0,0,retained
SRR13921545.163,100,100,100,100,0,0,0,retained
SRR13921545.164,100,100,100,100,0,0,0,retained
SRR13921545.165,100,100,100,100,0,0,0,retained
SRR13921545.166,100,100,100,100,0,0,0,retained
SRR13921545.167,100,100,100,100,0,0,0,retained
SRR13921545.168,100,100,100,100,0,0,0,retained
SRR13921545.169,100,100,100,100,0,0,0,retained
SRR13921545.170,100,100,100,100,0,0,0,retained
SRR13921545.171,100,100,100,100,0,0,0,retained
SRR13921545.172,100,100,100,100,0,0,0,retained
SRR13921545.173,100,100,100,100,0,0,0,retained
SRR13921545.174,100,100,100,100,0,0,0,retained
SRR13921545.175,100,100,100,100,0,0,0,retained
